ROI;Condition;Subject;Depth;PSC
V1;PD;0;0;-0.952397103627002
V1;PD;0;1;-1.0084294744952025
V1;PD;0;2;-1.1812664121122516
V1;PD;0;3;-1.4925648933054272
V1;PD;0;4;-1.868957086400344
V1;PD;0;5;-2.2857067191379574
V1;PD;0;6;-2.756016276051035
V1;PD;0;7;-3.225907916469516
V1;PD;0;8;-3.6797121036841105
V1;PD;0;9;-3.9964007956345786
V1;PD;0;10;-4.154740548094465
V1;PD;1;0;-1.942921029496187
V1;PD;1;1;-2.1244653346707896
V1;PD;1;2;-2.463584951430577
V1;PD;1;3;-2.897218482979264
V1;PD;1;4;-3.4116205471181593
V1;PD;1;5;-3.990963154424365
V1;PD;1;6;-4.690539775991079
V1;PD;1;7;-5.471595628363009
V1;PD;1;8;-6.280754369676058
V1;PD;1;9;-6.903117870014798
V1;PD;1;10;-7.126381005323832
V1;PD;2;0;-1.4747646799602472
V1;PD;2;1;-1.4970575908479495
V1;PD;2;2;-1.5407000048304638
V1;PD;2;3;-1.6048094710074656
V1;PD;2;4;-1.7334665492837942
V1;PD;2;5;-1.936167502864788
V1;PD;2;6;-2.191686124987092
V1;PD;2;7;-2.5015039353447994
V1;PD;2;8;-2.862898089490075
V1;PD;2;9;-3.186019292574335
V1;PD;2;10;-3.3351571623445104
V1;PD;3;0;-1.1608312623650239
V1;PD;3;1;-1.1848355649705338
V1;PD;3;2;-1.2387660449425957
V1;PD;3;3;-1.3903207232020915
V1;PD;3;4;-1.6168331327490026
V1;PD;3;5;-1.904002874128612
V1;PD;3;6;-2.3066829059873126
V1;PD;3;7;-2.775557278317418
V1;PD;3;8;-3.3329224283230414
V1;PD;3;9;-3.929942656492832
V1;PD;3;10;-4.3131418106141215
V1;PD;4;0;-1.4976700773603755
V1;PD;4;1;-1.538808404854865
V1;PD;4;2;-1.6128600183303323
V1;PD;4;3;-1.7535414894768317
V1;PD;4;4;-1.931907148204145
V1;PD;4;5;-2.174497891144868
V1;PD;4;6;-2.558360835216732
V1;PD;4;7;-3.046746655707506
V1;PD;4;8;-3.6772981036337535
V1;PD;4;9;-4.33633966610074
V1;PD;4;10;-4.661980136961613
V1;PD;5;0;-1.2765161156153597
V1;PD;5;1;-1.2654535611910886
V1;PD;5;2;-1.5612054084749174
V1;PD;5;3;-1.9859431810203758
V1;PD;5;4;-2.437724617776263
V1;PD;5;5;-2.8240946848835273
V1;PD;5;6;-3.156251709135943
V1;PD;5;7;-3.4383847412092576
V1;PD;5;8;-3.6911963695387713
V1;PD;5;9;-3.893650133524667
V1;PD;5;10;-3.971724967423223
V1;PD;6;0;-0.4823089029451248
V1;PD;6;1;-0.5061149609227181
V1;PD;6;2;-0.6035825516715033
V1;PD;6;3;-0.766699415446209
V1;PD;6;4;-0.9233482093872752
V1;PD;6;5;-1.0966103225234705
V1;PD;6;6;-1.2522685242729024
V1;PD;6;7;-1.37933482455412
V1;PD;6;8;-1.4748538478574855
V1;PD;6;9;-1.5295818496345872
V1;PD;6;10;-1.5348583867175767
V1;PS;0;0;-0.8130063040314688
