ROI;Condition;Subject;Depth;PSC
V1;PD;0;0;0.6748868056159281
V1;PD;0;1;0.6576430412009859
V1;PD;0;2;0.6850723510197022
V1;PD;0;3;0.7315180671212139
V1;PD;0;4;0.7713235215546581
V1;PD;0;5;0.7788844597643001
V1;PD;0;6;0.7328517562645046
V1;PD;0;7;0.619204516822898
V1;PD;0;8;0.4246464099813625
V1;PD;0;9;0.13588110428177863
V1;PD;0;10;-0.2603877317339728
V1;PD;1;0;-0.537780886287644
V1;PD;1;1;-0.4748005380727643
V1;PD;1;2;-0.2767048706345814
V1;PD;1;3;-0.047393364805530164
V1;PD;1;4;0.10923449858195475
V1;PD;1;5;0.0901023990598784
V1;PD;1;6;-0.14103853281306702
V1;PD;1;7;-0.5053461769636616
V1;PD;1;8;-0.9125990444406691
V1;PD;1;9;-1.2725756462928541
V1;PD;1;10;-1.4950544935689796
V1;PD;2;0;-0.10775970359261816
V1;PD;2;1;-0.018625442539169076
V1;PD;2;2;0.11198006037085514
V1;PD;2;3;0.2527060871683607
V1;PD;2;4;0.37220191988425366
V1;PD;2;5;0.439308436356266
V1;PD;2;6;0.4384210284034637
V1;PD;2;7;0.3807232471720483
V1;PD;2;8;0.2800472642417795
V1;PD;2;9;0.15022525119241667
V1;PD;2;10;0.005089379603719146
V1;PD;3;0;-0.30631742883766505
V1;PD;3;1;-0.19513571289185028
V1;PD;3;2;-0.11799535487393217
V1;PD;3;3;-0.09237931972283703
V1;PD;3;4;-0.135770572377491
V1;PD;3;5;-0.26529502276669553
V1;PD;3;6;-0.46909142687728356
V1;PD;3;7;-0.6853765374004823
V1;PD;3;8;-0.8474311785675553
V1;PD;3;9;-0.8885361746097664
V1;PD;3;10;-0.7419723497583774
V1;PD;4;0;0.26219897347540716
V1;PD;4;1;0.23741524896959515
V1;PD;4;2;0.21084903674018768
V1;PD;4;3;0.1618483959130047
V1;PD;4;4;0.06976138561386644
V1;PD;4;5;-0.08580202623174332
V1;PD;4;6;-0.3039690677064421
V1;PD;4;7;-0.5472479261590648
V1;PD;4;8;-0.7745261616918959
V1;PD;4;9;-0.9446913344072199
V1;PD;4;10;-1.0166310044073201
V1;PD;5;0;0.05182936464869087
V1;PD;5;1;0.0036187069174879374
V1;PD;5;2;0.03824897330179066
V1;PD;5;3;0.09622285647477258
V1;PD;5;4;0.11804304910960735
V1;PD;5;5;0.044786530210416314
V1;PD;5;6;-0.1358468597270122
V1;PD;5;7;-0.3558628625590903
V1;PD;5;8;-0.5393282859032082
V1;PD;5;9;-0.6103099373767558
V1;PD;5;10;-0.4928746245971223
V1;PD;6;0;0.2863209024021945
V1;PD;6;1;0.22437394323840135
V1;PD;6;2;0.23656640420251354
V1;PD;6;3;0.29376475734509083
V1;PD;6;4;0.3668354747166926
V1;PD;6;5;0.42677662209427547
V1;PD;6;6;0.4552695703385994
V1;PD;6;7;0.45239459876032806
V1;PD;6;8;0.4200511383438364
V1;PD;6;9;0.3601386200734987
V1;PD;6;10;0.2745564749336892
V1;PS;0;0;0.9276940512955598
V1;PS;0;1;0.8209915578783328
V1;PS;0;2;0.7679805817081873
V1;PS;0;3;0.7558003440150795
V1;PS;0;4;0.7715900660289647
V1;PS;0;5;0.802360017004915
V1;PS;0;6;0.8246516290690199
V1;PS;0;7;0.796976785026987
V1;PS;0;8;0.6760647355837283
V1;PS;0;9;0.41864473144415554
V1;PS;0;10;-0.01855397668682085
V1;PS;1;0;-0.5198090374374738
V1;PS;1;1;-0.27534957610217536
V1;PS;1;2;-0.08880757983833425
V1;PS;1;3;0.012765143027244283
V1;PS;1;4;0.0023167841677552425
V1;PS;1;5;-0.14677717275133667
V1;PS;1;6;-0.4264519709641303
V1;PS;1;7;-0.7689005965135189
V1;PS;1;8;-1.1004091509412592
