ROI;Condition;Subject;Depth;PSC
V1;PD;0;0;-0.942603423572087
V1;PD;0;1;-1.0175940921239472
V1;PD;0;2;-1.2121369361242051
V1;PD;0;3;-1.506081333163123
V1;PD;0;4;-1.8500259396167287
V1;PD;0;5;-2.23465103463069
V1;PD;0;6;-2.649967044497856
V1;PD;0;7;-3.054081172960314
V1;PD;0;8;-3.438268267066431
V1;PD;0;9;-3.6971132139556677
V1;PD;0;10;-3.8314951398927755
V1;PD;1;0;-1.772037656822158
V1;PD;1;1;-1.9339104995182712
V1;PD;1;2;-2.292062236986057
V1;PD;1;3;-2.7594096282790437
V1;PD;1;4;-3.2939409211593422
V1;PD;1;5;-3.8792226432231156
V1;PD;1;6;-4.546168629478156
V1;PD;1;7;-5.263276132013547
V1;PD;1;8;-6.005746221203882
V1;PD;1;9;-6.641333710864985
V1;PD;1;10;-6.944895355487753
V1;PD;2;0;-1.4382844116447826
V1;PD;2;1;-1.4467372675978496
V1;PD;2;2;-1.4681546018225384
V1;PD;2;3;-1.5475959677393358
V1;PD;2;4;-1.7288052572370252
V1;PD;2;5;-1.9708927320711638
V1;PD;2;6;-2.2567682974304066
V1;PD;2;7;-2.576048249188104
V1;PD;2;8;-2.9278150664458824
V1;PD;2;9;-3.2313048858927864
V1;PD;2;10;-3.364681388958238
V1;PD;3;0;-1.1708726054633616
V1;PD;3;1;-1.178510998233389
V1;PD;3;2;-1.2251434721235743
V1;PD;3;3;-1.3857019789016132
V1;PD;3;4;-1.629623836058766
V1;PD;3;5;-1.9344321732721474
V1;PD;3;6;-2.3519846529903665
V1;PD;3;7;-2.840256973140582
V1;PD;3;8;-3.423050277520363
V1;PD;3;9;-4.045580716346686
V1;PD;3;10;-4.441630630453943
V1;PD;4;0;-1.3352060673633177
V1;PD;4;1;-1.3786803252402853
V1;PD;4;2;-1.4147792527391678
V1;PD;4;3;-1.5186142153348738
V1;PD;4;4;-1.6796828403537987
V1;PD;4;5;-1.9131988977161647
V1;PD;4;6;-2.311808333592633
V1;PD;4;7;-2.8354311424138965
V1;PD;4;8;-3.5340735606835114
V1;PD;4;9;-4.298834409209164
V1;PD;4;10;-4.671101393600079
V1;PD;5;0;-1.3259303384303436
V1;PD;5;1;-1.3700735959003476
V1;PD;5;2;-1.7309891786248943
V1;PD;5;3;-2.2113978182104064
V1;PD;5;4;-2.761440715431885
V1;PD;5;5;-3.246610514175037
V1;PD;5;6;-3.606239721534236
V1;PD;5;7;-3.882718616723708
V1;PD;5;8;-4.102532609192022
V1;PD;5;9;-4.268158176042887
V1;PD;5;10;-4.347044029272949
V1;PD;6;0;-0.429540940761063
V1;PD;6;1;-0.45713637131814644
V1;PD;6;2;-0.5776849927224718
V1;PD;6;3;-0.7756431521623105
V1;PD;6;4;-0.9734522021408877
V1;PD;6;5;-1.1752702599108913
V1;PD;6;6;-1.3405651160987482
V1;PD;6;7;-1.4707437663197702
V1;PD;6;8;-1.5670854303983457
V1;PD;6;9;-1.620737153211337
V1;PD;6;10;-1.6244403525812419
V1;PS;0;0;-0.8090787357447206
V1;PS;0;1;-1.0005685111823457
V1;PS;0;2;-1.4398729821415022
V1;PS;0;3;-1.9064350512982629
V1;PS;0;4;-2.3646834949512803
V1;PS;0;5;-2.8270313161612464
V1;PS;0;6;-3.2669302112020655
V1;PS;0;7;-3.6720979771492037
V1;PS;0;8;-4.0010482977226465
V1;PS;0;9;-4.201864081688668
V1;PS;0;10;-4.30378545527421
V1;PS;1;0;-1.9399210466609904
V1;PS;1;1;-2.114842045815772
V1;PS;1;2;-2.4836567512259498
V1;PS;1;3;-2.9658715019749713
V1;PS;1;4;-3.507139366220299
V1;PS;1;5;-4.09273012761288
V1;PS;1;6;-4.791013703368071
V1;PS;1;7;-5.554025958300707
V1;PS;1;8;-6.36079039588649
V1;PS;1;9;-7.055340699841533
V1;PS;1;10;-7.358035689238685
V1;PS;2;0;-0.7010019283486432
V1;PS;2;1;-0.7486251389964615
V1;PS;2;2;-0.8484901637033124
V1;PS;2;3;-0.9754368544410567
V1;PS;2;4;-1.2152213208548643
V1;PS;2;5;-1.522023463792793
V1;PS;2;6;-1.8819917401032253
V1;PS;2;7;-2.2552223559583475
V1;PS;2;8;-2.6386321509363926
V1;PS;2;9;-2.9763896009515247
V1;PS;2;10;-3.139224837558227
V1;PS;3;0;-0.748475419134418
V1;PS;3;1;-0.7992590931950003
