ROI;Condition;Subject;Depth;Vertices;PSC
V1;PD;0;0;4100.0;-0.942603423572087
V1;PD;0;1;4100.0;-0.8100277844828259
V1;PD;0;2;4100.0;-0.8939069406607963
V1;PD;0;3;4100.0;-1.1232425952049336
V1;PD;0;4;4100.0;-1.427036451214172
V1;PD;0;5;4100.0;-1.7344150516856751
V1;PD;0;6;4100.0;-1.9846399419143226
V1;PD;0;7;4100.0;-2.134427282405593
V1;PD;0;8;4100.0;-2.142219020418068
V1;PD;0;9;4100.0;-1.966457103210325
V1;PD;0;10;4100.0;-1.565583478040943
V1;PD;1;0;3246.0;-1.772037656822158
V1;PD;1;1;3246.0;-1.5724916318423081
V1;PD;1;2;3246.0;-1.685433647101274
V1;PD;1;3;3246.0;-2.016119194397924
V1;PD;1;4;3246.0;-2.4698037655311262
V1;PD;1;5;3246.0;-2.951826823543824
V1;PD;1;6;3246.0;-3.3743449529579985
V1;PD;1;7;3246.0;-3.6612552617573044
V1;PD;1;8;3246.0;-3.7376156764035007
V1;PD;1;9;3246.0;-3.5284841233583464
V1;PD;1;10;3246.0;-2.958918529083595
V1;PD;2;0;2913.0;-1.4382844116447826
V1;PD;2;1;2913.0;-1.1203029859917495
V1;PD;2;2;2913.0;-0.9895100461944322
V1;PD;2;3;2913.0;-1.0033476624095312
V1;PD;2;4;2913.0;-1.1192579047937465
V1;PD;2;5;2913.0;-1.2946450164849923
V1;PD;2;6;2913.0;-1.483842291927971
V1;PD;2;7;2913.0;-1.6358942031086463
V1;PD;2;8;2913.0;-1.699322301305272
V1;PD;2;9;2913.0;-1.6226481377961
V1;PD;2;10;2913.0;-1.354393263859381
V1;PD;3;0;2226.0;-1.1708726054633616
V1;PD;3;1;2226.0;-0.9107158141553023
V1;PD;3;2;2226.0;-0.8316929652478233
V1;PD;3;3;2226.0;-0.9047518450537504
V1;PD;3;4;2226.0;-1.10084023988591
V1;PD;3;5;2226.0;-1.390735441108001
V1;PD;3;6;2226.0;-1.7313732781337923
V1;PD;3;7;2226.0;-2.055851658569896
V1;PD;3;8;2226.0;-2.2949115678461984
V1;PD;3;9;2226.0;-2.379293991392582
V1;PD;3;10;2226.0;-2.2397399146389274
V1;PD;4;0;2177.0;-1.3352060673633177
V1;PD;4;1;2177.0;-1.0956640505796515
V1;PD;4;2;2177.0;-0.9575842196272543
V1;PD;4;3;2177.0;-0.9361643139905473
V1;PD;4;4;2177.0;-1.046602073153952
V1;PD;4;5;2177.0;-1.3035922064008276
V1;PD;4;6;2177.0;-1.6809914191714415
V1;PD;4;7;2177.0;-2.0823247463142454
V1;PD;4;8;2177.0;-2.404163333178201
V1;PD;4;9;2177.0;-2.5430783251122677
V1;PD;4;10;2177.0;-2.3956408674654033
V1;PD;5;0;3083.0;-1.3259303384303436
V1;PD;5;1;3083.0;-1.0902791661957543
V1;PD;5;2;3083.0;-1.2864989522188026
V1;PD;5;3;3083.0;-1.7203983675430385
V1;PD;5;4;3083.0;-2.197786083212012
V1;PD;5;5;3083.0;-2.5255574334441797
V1;PD;5;6;3083.0;-2.5988274156495517
V1;PD;5;7;3083.0;-2.4646439257007646
V1;PD;5;8;3083.0;-2.185076891200358
V1;PD;5;9;3083.0;-1.8221962397508684
V1;PD;5;10;3083.0;-1.438071898954831
V1;PD;6;0;2164.0;-0.429540940761063
V1;PD;6;1;2164.0;-0.35438821952788147
V1;PD;6;2;2164.0;-0.43402489303413716
V1;PD;6;3;2164.0;-0.6017788081552584
V1;PD;6;4;2164.0;-0.7909778117666739
V1;PD;6;5;2164.0;-0.9352758812568496
V1;PD;6;6;2164.0;-0.9948035735846803
V1;PD;6;7;2164.0;-0.9752897095198955
V1;PD;6;8;2164.0;-0.8869715380444558
V1;PD;6;9;2164.0;-0.7400863081403204
V1;PD;6;10;2164.0;-0.5448712687894482
V1;PS;0;0;4100.0;-0.8090787357447206
V1;PS;0;1;4100.0;-0.8713812006432133
V1;PS;0;2;4100.0;-1.1536037426090966
V1;PS;0;3;4100.0;-1.5543031966754322
V1;PS;0;4;4100.0;-1.9720363978752824
V1;PS;0;5;4100.0;-2.305780775081757
V1;PS;0;6;4100.0;-2.4886592474783704
V1;PS;0;7;4100.0;-2.512600482588696
V1;PS;0;8;4100.0;-2.375347437181124
V1;PS;0;9;4100.0;-2.0746430680240424
V1;PS;0;10;4100.0;-1.6082303318858384
V1;PS;1;0;3246.0;-1.9399210466609904
