ROI;Condition;Subject;Volume;Vertices;PSC
V1;KANIZSA;0;0;13046.0;-0.001407601616599343
V1;KANIZSA;0;1;13046.0;0.00048778273842551493
V1;KANIZSA;0;2;13046.0;-0.003247239372946999
V1;KANIZSA;0;3;13046.0;-0.0030799995769153943
V1;KANIZSA;0;4;13046.0;-0.00045990943908691406
V1;KANIZSA;0;5;13046.0;0.0009895021265203302
V1;KANIZSA;0;6;13046.0;-0.0011288686232133346
V1;KANIZSA;0;7;13046.0;4.180994900790128e-05
V1;KANIZSA;0;8;13046.0;-0.002188053998080167
V1;KANIZSA;0;9;13046.0;-0.003748958761041815
V1;KANIZSA;0;10;13046.0;-1.3936649669300426e-05
V1;KANIZSA;0;11;13046.0;-0.002745519984852184
V1;KANIZSA;0;12;13046.0;-0.003470225767655806
V1;KANIZSA;0;13;13046.0;-0.0015190948139537465
V1;KANIZSA;0;14;13046.0;-0.0010731220245361328
V1;KANIZSA;0;15;13046.0;0.001045248725197532
V1;KANIZSA;0;16;13046.0;0.0011009953238747337
V1;KANIZSA;0;17;13046.0;9.755654768510298e-05
V1;KANIZSA;0;18;13046.0;-0.00012542984702370384
V1;KANIZSA;0;19;13046.0;-0.0036374655636874113
V1;KANIZSA;1;0;6435.0;0.0028113126754760742
V1;KANIZSA;1;1;6435.0;0.0025287866592407227
V1;KANIZSA;1;2;6435.0;0.0009465109218250622
V1;KANIZSA;1;3;6435.0;-0.00012716380032626066
V1;KANIZSA;1;4;6435.0;-0.0015398697419600053
V1;KANIZSA;1;5;6435.0;-0.0007487589662725276
V1;KANIZSA;1;6;6435.0;0.00026841597123579544
V1;KANIZSA;1;7;6435.0;0.004506598819385876
V1;KANIZSA;1;8;6435.0;0.011174711314114657
V1;KANIZSA;1;9;6435.0;0.010157509283585981
V1;KANIZSA;1;10;6435.0;0.005354231054132635
V1;KANIZSA;1;11;6435.0;0.005806337703358044
V1;KANIZSA;1;12;6435.0;0.008462266488508745
V1;KANIZSA;1;13;6435.0;0.008801303126595238
V1;KANIZSA;1;14;6435.0;0.00817970796064897
V1;KANIZSA;1;15;6435.0;0.002811323512684215
V1;KANIZSA;1;16;6435.0;0.002924344756386497
V1;KANIZSA;1;17;6435.0;0.001285574652931907
V1;KANIZSA;1;18;6435.0;0.0023592493750832296
V1;KANIZSA;1;19;6435.0;-0.0008052641695195979
V1;KANIZSA;2;0;6350.0;0.006098790602250533
