ROI;Condition;Subject;Volume;Vertices;PSC
V1;BRIGHT_SQUARE;0;0;1479.0;0.0007990544492548162
V1;BRIGHT_SQUARE;0;1;1479.0;-6.145238876342773e-05
V1;BRIGHT_SQUARE;0;2;1479.0;-0.004118258302861994
V1;BRIGHT_SQUARE;0;3;1479.0;-0.007744783704931086
V1;BRIGHT_SQUARE;0;4;1479.0;-0.010264922272075306
V1;BRIGHT_SQUARE;0;5;1479.0;-0.01069518652829257
V1;BRIGHT_SQUARE;0;6;1479.0;-0.013338246128775856
V1;BRIGHT_SQUARE;0;7;1479.0;-0.005962252616882324
V1;BRIGHT_SQUARE;0;8;1479.0;0.00043025341900912196
V1;BRIGHT_SQUARE;0;9;1479.0;-0.004425590688532049
V1;BRIGHT_SQUARE;0;10;1479.0;-0.0038723837245594373
V1;BRIGHT_SQUARE;1;0;541.0;0.002520588311282071
V1;BRIGHT_SQUARE;1;1;541.0;0.0008402141657742587
V1;BRIGHT_SQUARE;1;2;541.0;-0.0012602860277349298
V1;BRIGHT_SQUARE;1;3;541.0;-0.008654009212147106
V1;BRIGHT_SQUARE;1;4;541.0;0.0018484375693581321
V1;BRIGHT_SQUARE;1;5;541.0;-0.0031927390532060103
V1;BRIGHT_SQUARE;1;6;541.0;-0.0043690096248279915
V1;BRIGHT_SQUARE;1;7;541.0;0.002352584492076527
V1;BRIGHT_SQUARE;1;8;541.0;0.0043690096248279915
V1;BRIGHT_SQUARE;1;9;541.0;0.006049383770335804
V1;BRIGHT_SQUARE;1;10;541.0;-0.002352530306035822
V1;BRIGHT_SQUARE;2;0;1408.0;0.0006456700238314542
V1;BRIGHT_SQUARE;2;1;1408.0;0.0027763193303888493
V1;BRIGHT_SQUARE;2;2;1408.0;0.004519625143571334
V1;BRIGHT_SQUARE;2;3;1408.0;0.0008393634449351918
V1;BRIGHT_SQUARE;2;4;1408.0;-0.007295982404188676
V1;BRIGHT_SQUARE;2;5;1408.0;-0.012848658995194868
V1;BRIGHT_SQUARE;2;6;1408.0;-0.012073858217759565
V1;BRIGHT_SQUARE;2;7;1408.0;-0.00490702282298695
V1;BRIGHT_SQUARE;2;8;1408.0;0.0
V1;BRIGHT_SQUARE;2;9;1408.0;-0.002324380657889626
V1;BRIGHT_SQUARE;2;10;1408.0;-0.006198357452045788
V1;BRIGHT_SQUARE;3;0;1228.0;0.0022208690643310144
V1;BRIGHT_SQUARE;3;1;1228.0;0.005349406615254141
V1;BRIGHT_SQUARE;3;2;1228.0;0.007539457801073033
V1;BRIGHT_SQUARE;3;3;1228.0;0.006815211021989494
V1;BRIGHT_SQUARE;3;4;1228.0;-0.0004539734106133529
V1;BRIGHT_SQUARE;3;5;1228.0;-0.0018471369791172234
V1;BRIGHT_SQUARE;3;6;1228.0;0.00112978238097909
V1;BRIGHT_SQUARE;3;7;1228.0;0.0055768268191590635
V1;BRIGHT_SQUARE;3;8;1228.0;0.008668198869117759
V1;BRIGHT_SQUARE;3;9;1228.0;0.0030748823977322774
V1;BRIGHT_SQUARE;3;10;1228.0;-0.0036648063305206465
V1;KANIZSA;0;0;1479.0;0.0002458745783025568
V1;KANIZSA;0;1;1479.0;-0.003134787082672119
V1;KANIZSA;0;2;1479.0;-0.012416254390369762
V1;KANIZSA;0;3;1479.0;-0.007437456737865101
V1;KANIZSA;0;4;1479.0;-0.011985990134152498
V1;KANIZSA;0;5;1479.0;-0.007929184220053932
V1;KANIZSA;0;6;1479.0;-0.007621851834383878
V1;KANIZSA;0;7;1479.0;-0.0052246559749950065
V1;KANIZSA;0;8;1479.0;-0.003503604368730025
V1;KANIZSA;0;9;1479.0;-0.0014751878651705656
V1;KANIZSA;0;10;1479.0;-0.0035650567574934526
V1;KANIZSA;1;0;541.0;0.00025206262415105647
V1;KANIZSA;1;1;541.0;-0.004369015043432062
V1;KANIZSA;1;2;541.0;-0.007477733221921054
V1;KANIZSA;1;3;541.0;-0.010082331570712004
V1;KANIZSA;1;4;541.0;-0.011594685641202059
V1;KANIZSA;1;5;541.0;-0.008065863089127974
V1;KANIZSA;1;6;541.0;-0.009074097329919989
V1;KANIZSA;1;7;541.0;-0.0037808797576210714
V1;KANIZSA;1;8;541.0;0.004621050574562766
V1;KANIZSA;1;9;541.0;0.006973613392223011
V1;KANIZSA;1;10;541.0;0.00495711239901456
V1;KANIZSA;2;0;1408.0;0.001485022631558505
V1;KANIZSA;2;1;1408.0;0.0022598071531815963
V1;KANIZSA;2;2;1408.0;0.00032284043051979757
V1;KANIZSA;2;3;1408.0;-0.005617255514318293
V1;KANIZSA;2;4;1408.0;-0.009491210634058172
V1;KANIZSA;2;5;1408.0;-0.009103823791850697
V1;KANIZSA;2;6;1408.0;-0.009878613732077858
V1;KANIZSA;2;7;1408.0;-0.007489675825292414
V1;KANIZSA;2;8;1408.0;-0.0025826367464932528
V1;KANIZSA;2;9;1408.0;-0.0003228295933116566
V1;KANIZSA;2;10;1408.0;0.00032284043051979757
V1;KANIZSA;3;0;1228.0;0.0034794157201593775
V1;KANIZSA;3;1;1228.0;0.005709606667109684
V1;KANIZSA;3;2;1228.0;0.005674445437337053
V1;KANIZSA;3;3;1228.0;0.0004996179330604145
V1;KANIZSA;3;4;1228.0;-0.002706396436566409
V1;KANIZSA;3;5;1228.0;-0.0008669184557082483
V1;KANIZSA;3;6;1228.0;0.0004537718198367659
V1;KANIZSA;3;7;1228.0;0.0033873201689263092
V1;KANIZSA;3;8;1228.0;0.007247793225781224
V1;KANIZSA;3;9;1228.0;0.009315638049462237
V1;KANIZSA;3;10;1228.0;0.004433770293539348
V1;KANIZSA_ROTATED;0;0;1479.0;-0.0021513266996903853
V1;KANIZSA_ROTATED;0;1;1479.0;-0.0017210516062649813
V1;KANIZSA_ROTATED;0;2;1479.0;-0.003257729790427468
V1;KANIZSA_ROTATED;0;3;1479.0;-0.004487059333107688
V1;KANIZSA_ROTATED;0;4;1479.0;-0.004548522559079257
V1;KANIZSA_ROTATED;0;5;1479.0;-0.008175053379752419
V1;KANIZSA_ROTATED;0;6;1479.0;-0.004056789658286355
V1;KANIZSA_ROTATED;0;7;1479.0;-0.003872394561767578
V1;KANIZSA_ROTATED;0;8;1479.0;-0.004548517140475186
V1;KANIZSA_ROTATED;0;9;1479.0;-0.0018440051512284713
V1;KANIZSA_ROTATED;0;10;1479.0;0.0006761442531238903
V1;KANIZSA_ROTATED;1;0;541.0;0.0006721507419239391
V1;KANIZSA_ROTATED;1;1;541.0;-0.0011762597344138405
V1;KANIZSA_ROTATED;1;2;541.0;-0.003024686466563832
V1;KANIZSA_ROTATED;1;3;541.0;-0.010082336989316073
V1;KANIZSA_ROTATED;1;4;541.0;-0.0052932229909029875
V1;KANIZSA_ROTATED;1;5;541.0;-0.007225665179165927
