ROI;Condition;Subject;Volume;Vertices;PSC
V1;KANIZSA;0;0;12379.0;0.0005801591006192294
V1;KANIZSA;0;1;12379.0;0.0006388967687433416
V1;KANIZSA;0;2;12379.0;-0.004119873046875
V1;KANIZSA;0;3;12379.0;-0.004472380334680731
V1;KANIZSA;0;4;12379.0;-0.0028273679993369365
V1;KANIZSA;0;5;12379.0;-0.002181112766265869
V1;KANIZSA;0;6;12379.0;-0.0032386183738708496
V1;KANIZSA;0;7;12379.0;-0.002886111086065119
V1;KANIZSA;0;8;12379.0;-0.0015936006199229848
V1;KANIZSA;0;9;12379.0;-0.0012411095879294655
V1;KANIZSA;0;10;12379.0;0.002342679283835671
V1;KANIZSA;1;0;5775.0;-0.0017158605835654519
V1;KANIZSA;1;1;5775.0;-1.5697695992209695e-05
V1;KANIZSA;1;2;5775.0;0.00351041013544256
V1;KANIZSA;1;3;5775.0;0.010814645073630592
V1;KANIZSA;1;4;5775.0;0.009681235660206188
V1;KANIZSA;1;5;5775.0;0.007225491783835671
V1;KANIZSA;1;6;5775.0;0.005714286457408558
V1;KANIZSA;1;7;5775.0;0.009051550518382679
V1;KANIZSA;1;8;5775.0;0.009807153181596235
V1;KANIZSA;1;9;5775.0;0.007603287696838379
V1;KANIZSA;1;10;5775.0;0.005399465560913086
V1;KANIZSA;2;0;7180.0;0.0009622465480457653
V1;KANIZSA;2;1;7180.0;0.0018232410604303534
V1;KANIZSA;2;2;7180.0;0.002380338582125577
V1;KANIZSA;2;3;7180.0;0.0009622682224620472
V1;KANIZSA;2;4;7180.0;-0.0012661543759432707
V1;KANIZSA;2;5;7180.0;-0.0007597045464949174
V1;KANIZSA;2;6;7180.0;-0.0010635690255598588
V1;KANIZSA;2;7;7180.0;-0.0009116422046314586
V1;KANIZSA;2;8;7180.0;-0.0008103414015336471
V1;KANIZSA;2;9;7180.0;0.00010126829147338867
V1;KANIZSA;2;10;7180.0;0.002127116376703436
V1;KANIZSA;3;0;4974.0;0.0011331709948453035
V1;KANIZSA;3;1;4974.0;0.0013333175650276767
V1;KANIZSA;3;2;4974.0;0.0005047891411791294
V1;KANIZSA;3;3;4974.0;-0.0016286585723514137
V1;KANIZSA;3;4;4974.0;-0.0008155782133194768
V1;KANIZSA;3;5;4974.0;-0.0018568789927270281
V1;KANIZSA;3;6;4974.0;0.00024654365024730354
V1;KANIZSA;3;7;4974.0;0.0005883838504655872
V1;KANIZSA;3;8;4974.0;0.0005295667623710567
V1;KANIZSA;3;9;4974.0;0.0026329064219039466
