ROI;Condition;Subject;Depth;Vertices;PSC
V1;KANIZSA;0;0;12595.0;-0.0774931438354896
V1;KANIZSA;0;1;12595.0;-0.07225028380058465
V1;KANIZSA;0;2;12595.0;-0.07616169786651243
V1;KANIZSA;0;3;12595.0;-0.08249102884904848
V1;KANIZSA;0;4;12595.0;-0.08450191956396844
V1;KANIZSA;0;5;12595.0;-0.07551540236180493
V1;KANIZSA;0;6;12595.0;-0.05351162158281174
V1;KANIZSA;0;7;12595.0;-0.02449469675884236
V1;KANIZSA;0;8;12595.0;0.004737899649767454
V1;KANIZSA;0;9;12595.0;0.02738869518268198
V1;KANIZSA;0;10;12595.0;0.03666021737956544
V1;KANIZSA;1;0;6435.0;-0.2413481067231203
V1;KANIZSA;1;1;6435.0;-0.15071778941629355
V1;KANIZSA;1;2;6435.0;-0.10578983135763892
V1;KANIZSA;1;3;6435.0;-0.08938785361870291
V1;KANIZSA;1;4;6435.0;-0.08433547727103193
V1;KANIZSA;1;5;6435.0;-0.07356546113361986
V1;KANIZSA;1;6;6435.0;-0.04887080291423084
V1;KANIZSA;1;7;6435.0;-0.017303703617735672
V1;KANIZSA;1;8;6435.0;0.01257491553028193
V1;KANIZSA;1;9;6435.0;0.032204133304238255
V1;KANIZSA;1;10;6435.0;0.033023028478549515
V1;KANIZSA;2;0;6150.0;-0.26690321380267096
V1;KANIZSA;2;1;6150.0;-0.22887861968926745
V1;KANIZSA;2;2;6150.0;-0.21980664177303555
V1;KANIZSA;2;3;6150.0;-0.23166820827079548
V1;KANIZSA;2;4;6150.0;-0.2564442473993674
V1;KANIZSA;2;5;6150.0;-0.2861210916106979
V1;KANIZSA;2;6;6150.0;-0.31312381078121904
V1;KANIZSA;2;7;6150.0;-0.3306330733257674
V1;KANIZSA;2;8;6150.0;-0.331904255805565
V1;KANIZSA;2;9;6150.0;-0.31019273478183307
V1;KANIZSA;2;10;6150.0;-0.25875388681579303
V1;KANIZSA;3;0;6150.0;-0.20474006448593235
V1;KANIZSA;3;1;6150.0;-0.19718336732995917
V1;KANIZSA;3;2;6150.0;-0.22198741743257816
V1;KANIZSA;3;3;6150.0;-0.27140613030656546
V1;KANIZSA;3;4;6150.0;-0.33769342146469733
V1;KANIZSA;3;5;6150.0;-0.41306913650440913
V1;KANIZSA;3;6;6150.0;-0.48698718901610866
V1;KANIZSA;3;7;6150.0;-0.5441379733069132
V1;KANIZSA;3;8;6150.0;-0.568740901174269
V1;KANIZSA;3;9;6150.0;-0.5450153844156227
V1;KANIZSA;3;10;6150.0;-0.45718083482841976
V1;KANIZSA_ROTATED;0;0;12595.0;-0.27201981384014307
V1;KANIZSA_ROTATED;0;1;12595.0;-0.23257989833471865
V1;KANIZSA_ROTATED;0;2;12595.0;-0.21992967250133602
V1;KANIZSA_ROTATED;0;3;12595.0;-0.2250769866810901
V1;KANIZSA_ROTATED;0;4;12595.0;-0.23902969121507586
V1;KANIZSA_ROTATED;0;5;12595.0;-0.2528187006049168
V1;KANIZSA_ROTATED;0;6;12595.0;-0.25934737016057274
V1;KANIZSA_ROTATED;0;7;12595.0;-0.2547437938604401
V1;KANIZSA_ROTATED;0;8;12595.0;-0.23545490463806004
V1;KANIZSA_ROTATED;0;9;12595.0;-0.19792763542697336
V1;KANIZSA_ROTATED;0;10;12595.0;-0.13860891916072082
V1;KANIZSA_ROTATED;1;0;6435.0;-0.023535193053674998
V1;KANIZSA_ROTATED;1;1;6435.0;-0.04850307996775085
V1;KANIZSA_ROTATED;1;2;6435.0;-0.08922368967169023
V1;KANIZSA_ROTATED;1;3;6435.0;-0.13822829311484017
V1;KANIZSA_ROTATED;1;4;6435.0;-0.18804816124654766
V1;KANIZSA_ROTATED;1;5;6435.0;-0.23122637851980382
V1;KANIZSA_ROTATED;1;6;6435.0;-0.2612650968674362
V1;KANIZSA_ROTATED;1;7;6435.0;-0.2733181850477646
V1;KANIZSA_ROTATED;1;8;6435.0;-0.26270282169348413
V1;KANIZSA_ROTATED;1;9;6435.0;-0.22473618543728982
V1;KANIZSA_ROTATED;1;10;6435.0;-0.15473545491187637
V1;KANIZSA_ROTATED;2;0;6150.0;-0.13534185659251313
V1;KANIZSA_ROTATED;2;1;6150.0;-0.07944170011199005
V1;KANIZSA_ROTATED;2;2;6150.0;-0.05562544796424375
V1;KANIZSA_ROTATED;2;3;6150.0;-0.05294913013737461
V1;KANIZSA_ROTATED;2;4;6150.0;-0.060468776619482925
V1;KANIZSA_ROTATED;2;5;6150.0;-0.06730365167809604
V1;KANIZSA_ROTATED;2;6;6150.0;-0.06770663132174498
V1;KANIZSA_ROTATED;2;7;6150.0;-0.06477175557132955
V1;KANIZSA_ROTATED;2;8;6150.0;-0.062467215126548875
V1;KANIZSA_ROTATED;2;9;6150.0;-0.06476120068710202
V1;KANIZSA_ROTATED;2;10;6150.0;-0.07562190295268802
V1;KANIZSA_ROTATED;3;0;6150.0;-0.13534185659251313
V1;KANIZSA_ROTATED;3;1;6150.0;-0.07944170011199005
V1;KANIZSA_ROTATED;3;2;6150.0;-0.05562544796424375
V1;KANIZSA_ROTATED;3;3;6150.0;-0.05294913013737461
V1;KANIZSA_ROTATED;3;4;6150.0;-0.060468776619482925
V1;KANIZSA_ROTATED;3;5;6150.0;-0.06730365167809604
V1;KANIZSA_ROTATED;3;6;6150.0;-0.06770663132174498
V1;KANIZSA_ROTATED;3;7;6150.0;-0.06477175557132955
V1;KANIZSA_ROTATED;3;8;6150.0;-0.062467215126548875
V1;KANIZSA_ROTATED;3;9;6150.0;-0.06476120068710202
V1;KANIZSA_ROTATED;3;10;6150.0;-0.07562190295268802
V1;BRIGHT_SQUARE;0;0;12595.0;-0.2333920761625522
V1;BRIGHT_SQUARE;0;1;12595.0;-0.17607730907803376
V1;BRIGHT_SQUARE;0;2;12595.0;-0.14355008942406158
V1;BRIGHT_SQUARE;0;3;12595.0;-0.1277691641539732
V1;BRIGHT_SQUARE;0;4;12595.0;-0.12069328022110613
